(2/22/1518 11:58:00 PM, StartShift 2543)
(3/25/1518 12:03:00 AM, Sleeping)
(3/25/1518 12:47:00 AM, Awake)
(3/25/1518 12:52:00 AM, Sleeping)
(3/25/1518 12:59:00 AM, Awake)
(3/25/1518 11:57:00 PM, StartShift 883)
(3/26/1518 12:49:00 AM, Sleeping)
(3/26/1518 12:51:00 AM, Awake)
(3/27/1518 12:04:00 AM, StartShift 449)
(3/27/1518 12:09:00 AM, Sleeping)
(3/27/1518 12:32:00 AM, Awake)
(3/27/1518 12:48:00 AM, Sleeping)
(3/27/1518 12:51:00 AM, Awake)
(3/27/1518 11:57:00 PM, StartShift 1697)
(3/28/1518 12:34:00 AM, Sleeping)
(3/28/1518 12:36:00 AM, Awake)
(3/28/1518 12:53:00 AM, Sleeping)
(3/28/1518 12:59:00 AM, Awake)
(3/29/1518 12:04:00 AM, StartShift 1697)
(3/29/1518 12:40:00 AM, Sleeping)
(3/29/1518 12:45:00 AM, Awake)
(3/30/1518 12:04:00 AM, StartShift 953)
(3/30/1518 12:21:00 AM, Sleeping)
(3/30/1518 12:30:00 AM, Awake)
(3/30/1518 12:35:00 AM, Sleeping)
(3/30/1518 12:41:00 AM, Awake)
(3/30/1518 12:49:00 AM, Sleeping)
(3/30/1518 12:57:00 AM, Awake)
(3/31/1518 12:01:00 AM, StartShift 613)
(3/31/1518 12:09:00 AM, Sleeping)
(3/31/1518 12:45:00 AM, Awake)
(4/1/1518 12:03:00 AM, StartShift 1307)
(4/1/1518 12:29:00 AM, Sleeping)
(4/1/1518 12:48:00 AM, Awake)
(4/2/1518 12:00:00 AM, StartShift 1607)
(4/2/1518 12:32:00 AM, Sleeping)
(4/2/1518 12:44:00 AM, Awake)
(4/2/1518 12:54:00 AM, Sleeping)
(4/2/1518 12:55:00 AM, Awake)
(4/3/1518 12:00:00 AM, StartShift 1091)
(4/3/1518 12:14:00 AM, Sleeping)
(4/3/1518 12:51:00 AM, Awake)
(4/3/1518 11:58:00 PM, StartShift 953)
(4/4/1518 12:22:00 AM, Sleeping)
(4/4/1518 12:38:00 AM, Awake)
(4/4/1518 11:47:00 PM, StartShift 2161)
(4/5/1518 12:04:00 AM, Sleeping)
(4/5/1518 12:25:00 AM, Awake)
(4/5/1518 12:31:00 AM, Sleeping)
(4/5/1518 12:46:00 AM, Awake)
(4/5/1518 11:46:00 PM, StartShift 3299)
(4/6/1518 12:01:00 AM, Sleeping)
(4/6/1518 12:24:00 AM, Awake)
(4/6/1518 12:45:00 AM, Sleeping)
(4/6/1518 12:53:00 AM, Awake)
(4/6/1518 11:57:00 PM, StartShift 449)
(4/7/1518 12:54:00 AM, Sleeping)
(4/7/1518 12:58:00 AM, Awake)
(4/7/1518 11:54:00 PM, StartShift 2467)
(4/8/1518 12:04:00 AM, Sleeping)
(4/8/1518 12:56:00 AM, Awake)
(4/9/1518 12:03:00 AM, StartShift 2161)
(4/9/1518 12:22:00 AM, Sleeping)
(4/9/1518 12:34:00 AM, Awake)
(4/9/1518 12:41:00 AM, Sleeping)
(4/9/1518 12:50:00 AM, Awake)
(4/10/1518 12:04:00 AM, StartShift 2467)
(4/10/1518 12:32:00 AM, Sleeping)
(4/10/1518 12:48:00 AM, Awake)
(4/11/1518 12:01:00 AM, StartShift 953)
(4/11/1518 12:40:00 AM, Sleeping)
(4/11/1518 12:57:00 AM, Awake)
(4/11/1518 11:59:00 PM, StartShift 1597)
(4/12/1518 12:25:00 AM, Sleeping)
(4/12/1518 12:55:00 AM, Awake)
(4/13/1518 12:03:00 AM, StartShift 613)
(4/13/1518 12:08:00 AM, Sleeping)
(4/13/1518 12:54:00 AM, Awake)
(4/13/1518 11:59:00 PM, StartShift 2801)
(4/14/1518 12:33:00 AM, Sleeping)
(4/14/1518 12:59:00 AM, Awake)
(4/15/1518 12:01:00 AM, StartShift 1697)
(4/15/1518 12:06:00 AM, Sleeping)
(4/15/1518 12:18:00 AM, Awake)
(4/15/1518 12:35:00 AM, Sleeping)
(4/15/1518 12:41:00 AM, Awake)
(4/15/1518 12:51:00 AM, Sleeping)
(4/15/1518 12:53:00 AM, Awake)
(4/15/1518 12:57:00 AM, Sleeping)
(4/15/1518 12:59:00 AM, Awake)
(4/16/1518 12:04:00 AM, StartShift 1619)
(4/16/1518 12:17:00 AM, Sleeping)
(4/16/1518 12:22:00 AM, Awake)
(4/16/1518 12:25:00 AM, Sleeping)
(4/16/1518 12:35:00 AM, Awake)
(4/16/1518 12:46:00 AM, Sleeping)
(4/16/1518 12:55:00 AM, Awake)
(4/16/1518 11:57:00 PM, StartShift 1619)
(4/17/1518 12:30:00 AM, Sleeping)
(4/17/1518 12:35:00 AM, Awake)
(4/17/1518 12:52:00 AM, Sleeping)
(4/17/1518 12:57:00 AM, Awake)
(4/17/1518 11:58:00 PM, StartShift 2467)
(4/18/1518 12:30:00 AM, Sleeping)
(4/18/1518 12:33:00 AM, Awake)
(4/18/1518 12:37:00 AM, Sleeping)
(4/18/1518 12:53:00 AM, Awake)
(4/18/1518 11:48:00 PM, StartShift 3571)
(4/19/1518 12:04:00 AM, Sleeping)
(4/19/1518 12:36:00 AM, Awake)
(4/19/1518 12:45:00 AM, Sleeping)
(4/19/1518 12:55:00 AM, Awake)
(4/20/1518 12:03:00 AM, StartShift 1571)
(4/20/1518 12:44:00 AM, Sleeping)
(4/20/1518 12:58:00 AM, Awake)
(4/20/1518 11:57:00 PM, StartShift 613)
(4/21/1518 12:15:00 AM, Sleeping)
(4/21/1518 12:40:00 AM, Awake)
(4/21/1518 12:50:00 AM, Sleeping)
(4/21/1518 12:56:00 AM, Awake)
(4/21/1518 11:56:00 PM, StartShift 883)
(4/22/1518 12:19:00 AM, Sleeping)
(4/22/1518 12:33:00 AM, Awake)
(4/22/1518 12:54:00 AM, Sleeping)
(4/22/1518 12:57:00 AM, Awake)
(4/22/1518 11:57:00 PM, StartShift 577)
(4/23/1518 11:52:00 PM, StartShift 1571)
(4/24/1518 12:05:00 AM, Sleeping)
(4/24/1518 12:39:00 AM, Awake)
(4/24/1518 12:56:00 AM, Sleeping)
(4/24/1518 12:59:00 AM, Awake)
(4/24/1518 11:59:00 PM, StartShift 2543)
(4/25/1518 12:24:00 AM, Sleeping)
(4/25/1518 12:34:00 AM, Awake)
(4/26/1518 12:04:00 AM, StartShift 1619)
(4/26/1518 12:15:00 AM, Sleeping)
(4/26/1518 12:34:00 AM, Awake)
(4/26/1518 11:52:00 PM, StartShift 2161)
(4/27/1518 12:04:00 AM, Sleeping)
(4/27/1518 12:20:00 AM, Awake)
(4/27/1518 12:25:00 AM, Sleeping)
(4/27/1518 12:55:00 AM, Awake)
(4/27/1518 11:59:00 PM, StartShift 3571)
(4/28/1518 12:32:00 AM, Sleeping)
(4/28/1518 12:43:00 AM, Awake)
(4/29/1518 12:02:00 AM, StartShift 3299)
(4/29/1518 12:23:00 AM, Sleeping)
(4/29/1518 12:50:00 AM, Awake)
(4/29/1518 11:49:00 PM, StartShift 2801)
(4/30/1518 12:01:00 AM, Sleeping)
(4/30/1518 12:21:00 AM, Awake)
(4/30/1518 12:37:00 AM, Sleeping)
(4/30/1518 12:42:00 AM, Awake)
(4/30/1518 12:48:00 AM, Sleeping)
(4/30/1518 12:54:00 AM, Awake)
(4/30/1518 11:59:00 PM, StartShift 1571)
(5/1/1518 12:15:00 AM, Sleeping)
(5/1/1518 12:26:00 AM, Awake)
(5/1/1518 12:33:00 AM, Sleeping)
(5/1/1518 12:58:00 AM, Awake)
(5/2/1518 12:00:00 AM, StartShift 3299)
(5/2/1518 12:30:00 AM, Sleeping)
(5/2/1518 12:45:00 AM, Awake)
(5/3/1518 12:01:00 AM, StartShift 1619)
(5/3/1518 12:14:00 AM, Sleeping)
(5/3/1518 12:16:00 AM, Awake)
(5/3/1518 12:23:00 AM, Sleeping)
(5/3/1518 12:53:00 AM, Awake)
(5/3/1518 11:58:00 PM, StartShift 577)
(5/4/1518 11:49:00 PM, StartShift 1607)
(5/5/1518 12:01:00 AM, Sleeping)
(5/5/1518 12:16:00 AM, Awake)
(5/5/1518 12:47:00 AM, Sleeping)
(5/5/1518 12:59:00 AM, Awake)
(5/6/1518 12:04:00 AM, StartShift 919)
(5/6/1518 12:33:00 AM, Sleeping)
(5/6/1518 12:38:00 AM, Awake)
(5/6/1518 12:49:00 AM, Sleeping)
(5/6/1518 12:53:00 AM, Awake)
(5/7/1518 12:02:00 AM, StartShift 1571)
(5/7/1518 12:56:00 AM, Sleeping)
(5/7/1518 12:57:00 AM, Awake)
(5/7/1518 11:59:00 PM, StartShift 577)
(5/8/1518 11:56:00 PM, StartShift 2423)
(5/9/1518 12:27:00 AM, Sleeping)
(5/9/1518 12:29:00 AM, Awake)
(5/9/1518 12:41:00 AM, Sleeping)
(5/9/1518 12:54:00 AM, Awake)
(5/9/1518 11:56:00 PM, StartShift 2467)
(5/10/1518 12:34:00 AM, Sleeping)
(5/10/1518 12:58:00 AM, Awake)
(5/11/1518 12:03:00 AM, StartShift 883)
(5/11/1518 12:31:00 AM, Sleeping)
(5/11/1518 12:53:00 AM, Awake)
(5/11/1518 11:59:00 PM, StartShift 953)
(5/12/1518 12:20:00 AM, Sleeping)
(5/12/1518 12:33:00 AM, Awake)
(5/12/1518 11:52:00 PM, StartShift 1571)
(5/13/1518 12:01:00 AM, Sleeping)
(5/13/1518 12:54:00 AM, Awake)
(5/14/1518 12:04:00 AM, StartShift 1597)
(5/14/1518 12:27:00 AM, Sleeping)
(5/14/1518 12:50:00 AM, Awake)
(5/15/1518 12:01:00 AM, StartShift 953)
(5/15/1518 12:17:00 AM, Sleeping)
(5/15/1518 12:37:00 AM, Awake)
(5/15/1518 12:44:00 AM, Sleeping)
(5/15/1518 12:51:00 AM, Awake)
(5/16/1518 12:04:00 AM, StartShift 2801)
(5/16/1518 12:15:00 AM, Sleeping)
(5/16/1518 12:48:00 AM, Awake)
(5/16/1518 12:51:00 AM, Sleeping)
(5/16/1518 12:57:00 AM, Awake)
(5/17/1518 12:03:00 AM, StartShift 1307)
(5/17/1518 12:09:00 AM, Sleeping)
(5/17/1518 12:31:00 AM, Awake)
(5/17/1518 12:36:00 AM, Sleeping)
(5/17/1518 12:54:00 AM, Awake)
(5/18/1518 12:00:00 AM, StartShift 449)
(5/18/1518 12:22:00 AM, Sleeping)
(5/18/1518 12:50:00 AM, Awake)
(5/18/1518 12:55:00 AM, Sleeping)
(5/18/1518 12:59:00 AM, Awake)
(5/18/1518 11:47:00 PM, StartShift 2801)
(5/19/1518 12:03:00 AM, Sleeping)
(5/19/1518 12:48:00 AM, Awake)
(5/20/1518 12:00:00 AM, StartShift 2467)
(5/20/1518 12:25:00 AM, Sleeping)
(5/20/1518 12:43:00 AM, Awake)
(5/21/1518 12:04:00 AM, StartShift 283)
(5/21/1518 12:31:00 AM, Sleeping)
(5/21/1518 12:48:00 AM, Awake)
(5/22/1518 12:00:00 AM, StartShift 3299)
(5/22/1518 12:16:00 AM, Sleeping)
(5/22/1518 12:41:00 AM, Awake)
(5/22/1518 11:50:00 PM, StartShift 3299)
(5/23/1518 12:01:00 AM, Sleeping)
(5/23/1518 12:47:00 AM, Awake)
(5/24/1518 12:00:00 AM, StartShift 2467)
(5/24/1518 12:07:00 AM, Sleeping)
(5/24/1518 12:56:00 AM, Awake)
(5/25/1518 12:00:00 AM, StartShift 1307)
(5/25/1518 12:25:00 AM, Sleeping)
(5/25/1518 12:57:00 AM, Awake)
(5/25/1518 11:59:00 PM, StartShift 449)
(5/26/1518 12:06:00 AM, Sleeping)
(5/26/1518 12:57:00 AM, Awake)
(5/27/1518 12:04:00 AM, StartShift 2801)
(5/27/1518 12:24:00 AM, Sleeping)
(5/27/1518 12:28:00 AM, Awake)
(5/27/1518 12:41:00 AM, Sleeping)
(5/27/1518 12:51:00 AM, Awake)
(5/27/1518 11:57:00 PM, StartShift 1619)
(5/28/1518 12:16:00 AM, Sleeping)
(5/28/1518 12:54:00 AM, Awake)
(5/29/1518 12:00:00 AM, StartShift 2161)
(5/29/1518 12:25:00 AM, Sleeping)
(5/29/1518 12:28:00 AM, Awake)
(5/29/1518 12:35:00 AM, Sleeping)
(5/29/1518 12:59:00 AM, Awake)
(5/30/1518 12:01:00 AM, StartShift 1091)
(5/30/1518 12:51:00 AM, Sleeping)
(5/30/1518 12:52:00 AM, Awake)
(5/31/1518 12:02:00 AM, StartShift 1607)
(5/31/1518 12:28:00 AM, Sleeping)
(5/31/1518 12:53:00 AM, Awake)
(5/31/1518 12:56:00 AM, Sleeping)
(5/31/1518 12:58:00 AM, Awake)
(6/1/1518 12:02:00 AM, StartShift 3299)
(6/1/1518 12:17:00 AM, Sleeping)
(6/1/1518 12:33:00 AM, Awake)
(6/2/1518 12:01:00 AM, StartShift 1091)
(6/2/1518 12:49:00 AM, Sleeping)
(6/2/1518 12:51:00 AM, Awake)
(6/2/1518 12:54:00 AM, Sleeping)
(6/2/1518 12:59:00 AM, Awake)
(6/3/1518 12:01:00 AM, StartShift 1091)
(6/3/1518 12:12:00 AM, Sleeping)
(6/3/1518 12:39:00 AM, Awake)
(6/3/1518 12:49:00 AM, Sleeping)
(6/3/1518 12:52:00 AM, Awake)
(6/3/1518 11:53:00 PM, StartShift 2161)
(6/4/1518 12:00:00 AM, Sleeping)
(6/4/1518 12:53:00 AM, Awake)
(6/5/1518 12:04:00 AM, StartShift 3571)
(6/5/1518 12:27:00 AM, Sleeping)
(6/5/1518 12:39:00 AM, Awake)
(6/5/1518 12:45:00 AM, Sleeping)
(6/5/1518 12:54:00 AM, Awake)
(6/5/1518 12:57:00 AM, Sleeping)
(6/5/1518 12:58:00 AM, Awake)
(6/6/1518 12:00:00 AM, StartShift 1619)
(6/6/1518 12:32:00 AM, Sleeping)
(6/6/1518 12:37:00 AM, Awake)
(6/6/1518 12:47:00 AM, Sleeping)
(6/6/1518 12:49:00 AM, Awake)
(6/6/1518 12:53:00 AM, Sleeping)
(6/6/1518 12:54:00 AM, Awake)
(6/6/1518 11:59:00 PM, StartShift 1091)
(6/7/1518 12:12:00 AM, Sleeping)
(6/7/1518 12:29:00 AM, Awake)
(6/8/1518 12:00:00 AM, StartShift 1307)
(6/8/1518 12:54:00 AM, Sleeping)
(6/8/1518 12:59:00 AM, Awake)
(6/8/1518 11:59:00 PM, StartShift 577)
(6/10/1518 12:02:00 AM, StartShift 2801)
(6/10/1518 12:19:00 AM, Sleeping)
(6/10/1518 12:22:00 AM, Awake)
(6/10/1518 12:41:00 AM, Sleeping)
(6/10/1518 12:46:00 AM, Awake)
(6/10/1518 11:48:00 PM, StartShift 2467)
(6/11/1518 12:01:00 AM, Sleeping)
(6/11/1518 12:26:00 AM, Awake)
(6/11/1518 12:36:00 AM, Sleeping)
(6/11/1518 12:38:00 AM, Awake)
(6/11/1518 12:51:00 AM, Sleeping)
(6/11/1518 12:58:00 AM, Awake)
(6/12/1518 12:00:00 AM, StartShift 577)
(6/13/1518 12:04:00 AM, StartShift 3299)
(6/13/1518 12:51:00 AM, Sleeping)
(6/13/1518 12:55:00 AM, Awake)
(6/13/1518 11:50:00 PM, StartShift 449)
(6/14/1518 12:05:00 AM, Sleeping)
(6/14/1518 12:07:00 AM, Awake)
(6/14/1518 12:18:00 AM, Sleeping)
(6/14/1518 12:36:00 AM, Awake)
(6/15/1518 12:03:00 AM, StartShift 2543)
(6/15/1518 12:37:00 AM, Sleeping)
(6/15/1518 12:41:00 AM, Awake)
(6/15/1518 12:52:00 AM, Sleeping)
(6/15/1518 12:57:00 AM, Awake)
(6/16/1518 12:03:00 AM, StartShift 1597)
(6/16/1518 12:26:00 AM, Sleeping)
(6/16/1518 12:38:00 AM, Awake)
(6/16/1518 12:45:00 AM, Sleeping)
(6/16/1518 12:57:00 AM, Awake)
(6/17/1518 12:00:00 AM, StartShift 1697)
(6/17/1518 12:25:00 AM, Sleeping)
(6/17/1518 12:42:00 AM, Awake)
(6/18/1518 12:00:00 AM, StartShift 1091)
(6/18/1518 12:29:00 AM, Sleeping)
(6/18/1518 12:55:00 AM, Awake)
(6/19/1518 12:02:00 AM, StartShift 2543)
(6/19/1518 12:29:00 AM, Sleeping)
(6/19/1518 12:40:00 AM, Awake)
(6/20/1518 12:03:00 AM, StartShift 449)
(6/20/1518 12:13:00 AM, Sleeping)
(6/20/1518 12:56:00 AM, Awake)
(6/21/1518 12:00:00 AM, StartShift 2161)
(6/21/1518 12:06:00 AM, Sleeping)
(6/21/1518 12:43:00 AM, Awake)
(6/22/1518 12:00:00 AM, StartShift 1697)
(6/22/1518 12:29:00 AM, Sleeping)
(6/22/1518 12:40:00 AM, Awake)
(6/23/1518 12:00:00 AM, StartShift 449)
(6/23/1518 12:37:00 AM, Sleeping)
(6/23/1518 12:45:00 AM, Awake)
(6/23/1518 12:53:00 AM, Sleeping)
(6/23/1518 12:59:00 AM, Awake)
(6/24/1518 12:04:00 AM, StartShift 3571)
(6/24/1518 12:06:00 AM, Sleeping)
(6/24/1518 12:42:00 AM, Awake)
(6/24/1518 11:47:00 PM, StartShift 2161)
(6/25/1518 12:01:00 AM, Sleeping)
(6/25/1518 12:22:00 AM, Awake)
(6/25/1518 12:25:00 AM, Sleeping)
(6/25/1518 12:41:00 AM, Awake)
(6/25/1518 11:54:00 PM, StartShift 1697)
(6/26/1518 12:00:00 AM, Sleeping)
(6/26/1518 12:24:00 AM, Awake)
(6/26/1518 12:29:00 AM, Sleeping)
(6/26/1518 12:58:00 AM, Awake)
(6/26/1518 11:47:00 PM, StartShift 3299)
(6/27/1518 12:05:00 AM, Sleeping)
(6/27/1518 12:11:00 AM, Awake)
(6/27/1518 12:22:00 AM, Sleeping)
(6/27/1518 12:45:00 AM, Awake)
(6/27/1518 11:58:00 PM, StartShift 1571)
(6/28/1518 12:27:00 AM, Sleeping)
(6/28/1518 12:51:00 AM, Awake)
(6/28/1518 12:54:00 AM, Sleeping)
(6/28/1518 12:55:00 AM, Awake)
(6/28/1518 11:52:00 PM, StartShift 883)
(6/29/1518 12:01:00 AM, Sleeping)
(6/29/1518 12:04:00 AM, Awake)
(6/29/1518 12:43:00 AM, Sleeping)
(6/29/1518 12:49:00 AM, Awake)
(6/29/1518 11:59:00 PM, StartShift 953)
(6/30/1518 12:09:00 AM, Sleeping)
(6/30/1518 12:27:00 AM, Awake)
(6/30/1518 12:37:00 AM, Sleeping)
(6/30/1518 12:54:00 AM, Awake)
(7/1/1518 12:04:00 AM, StartShift 919)
(7/1/1518 12:12:00 AM, Sleeping)
(7/1/1518 12:29:00 AM, Awake)
(7/2/1518 12:02:00 AM, StartShift 1619)
(7/2/1518 12:31:00 AM, Sleeping)
(7/2/1518 12:36:00 AM, Awake)
(7/2/1518 12:51:00 AM, Sleeping)
(7/2/1518 12:52:00 AM, Awake)
(7/3/1518 12:02:00 AM, StartShift 883)
(7/3/1518 12:06:00 AM, Sleeping)
(7/3/1518 12:54:00 AM, Awake)
(7/4/1518 12:02:00 AM, StartShift 283)
(7/4/1518 12:31:00 AM, Sleeping)
(7/4/1518 12:46:00 AM, Awake)
(7/4/1518 11:57:00 PM, StartShift 1307)
(7/5/1518 12:20:00 AM, Sleeping)
(7/5/1518 12:45:00 AM, Awake)
(7/5/1518 12:50:00 AM, Sleeping)
(7/5/1518 12:56:00 AM, Awake)
(7/6/1518 12:02:00 AM, StartShift 3299)
(7/6/1518 12:07:00 AM, Sleeping)
(7/6/1518 12:21:00 AM, Awake)
(7/6/1518 12:28:00 AM, Sleeping)
(7/6/1518 12:48:00 AM, Awake)
(7/6/1518 12:51:00 AM, Sleeping)
(7/6/1518 12:53:00 AM, Awake)
(7/7/1518 12:00:00 AM, StartShift 1571)
(7/7/1518 12:27:00 AM, Sleeping)
(7/7/1518 12:57:00 AM, Awake)
(7/7/1518 11:59:00 PM, StartShift 3571)
(7/8/1518 12:23:00 AM, Sleeping)
(7/8/1518 12:26:00 AM, Awake)
(7/9/1518 12:00:00 AM, StartShift 2801)
(7/9/1518 12:41:00 AM, Sleeping)
(7/9/1518 12:58:00 AM, Awake)
(7/9/1518 11:47:00 PM, StartShift 2423)
(7/10/1518 12:05:00 AM, Sleeping)
(7/10/1518 12:49:00 AM, Awake)
(7/10/1518 11:58:00 PM, StartShift 2543)
(7/11/1518 12:39:00 AM, Sleeping)
(7/11/1518 12:56:00 AM, Awake)
(7/11/1518 11:58:00 PM, StartShift 1091)
(7/12/1518 12:08:00 AM, Sleeping)
(7/12/1518 12:21:00 AM, Awake)
(7/12/1518 12:38:00 AM, Sleeping)
(7/12/1518 12:59:00 AM, Awake)
(7/13/1518 12:01:00 AM, StartShift 883)
(7/13/1518 12:51:00 AM, Sleeping)
(7/13/1518 12:56:00 AM, Awake)
(7/13/1518 11:50:00 PM, StartShift 1571)
(7/14/1518 12:00:00 AM, Sleeping)
(7/14/1518 12:29:00 AM, Awake)
(7/14/1518 12:53:00 AM, Sleeping)
(7/14/1518 12:57:00 AM, Awake)
(7/15/1518 12:00:00 AM, StartShift 883)
(7/15/1518 12:20:00 AM, Sleeping)
(7/15/1518 12:32:00 AM, Awake)
(7/15/1518 12:51:00 AM, Sleeping)
(7/15/1518 12:56:00 AM, Awake)
(7/15/1518 11:59:00 PM, StartShift 883)
(7/16/1518 12:27:00 AM, Sleeping)
(7/16/1518 12:57:00 AM, Awake)
(7/16/1518 11:56:00 PM, StartShift 1571)
(7/17/1518 12:10:00 AM, Sleeping)
(7/17/1518 12:29:00 AM, Awake)
(7/17/1518 12:48:00 AM, Sleeping)
(7/17/1518 12:51:00 AM, Awake)
(7/17/1518 12:57:00 AM, Sleeping)
(7/17/1518 12:58:00 AM, Awake)
(7/18/1518 12:01:00 AM, StartShift 449)
(7/18/1518 12:16:00 AM, Sleeping)
(7/18/1518 12:28:00 AM, Awake)
(7/18/1518 12:39:00 AM, Sleeping)
(7/18/1518 12:59:00 AM, Awake)
(7/18/1518 11:49:00 PM, StartShift 1597)
(7/19/1518 12:04:00 AM, Sleeping)
(7/19/1518 12:38:00 AM, Awake)
(7/19/1518 12:41:00 AM, Sleeping)
(7/19/1518 12:57:00 AM, Awake)
(7/20/1518 12:01:00 AM, StartShift 2423)
(7/20/1518 12:18:00 AM, Sleeping)
(7/20/1518 12:39:00 AM, Awake)
(7/20/1518 12:46:00 AM, Sleeping)
(7/20/1518 12:51:00 AM, Awake)
(7/21/1518 12:03:00 AM, StartShift 2423)
(7/21/1518 12:38:00 AM, Sleeping)
(7/21/1518 12:56:00 AM, Awake)
(7/22/1518 12:01:00 AM, StartShift 919)
(7/22/1518 12:43:00 AM, Sleeping)
